created_at,league,match,market,odds,confidence,edge,ev,tempo,pressure,momentum,risk,source,result,profit,roi
2026-07-17T01:54:27.646543+00:00,Liga MX,Necaxa vs Atlante FC,UNDER_3.5,3.2,93.86,0.12,2.0034,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Copa Argentina,Sarmiento Junin vs Boca Juniors,OVER_0.5,3.35,86.62,0.17,1.9018,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Jong AZ vs Jong Ajax,OVER_2.5,3.3,71.76,0.35,1.368,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Zbrojovka Brno vs Podbrezová,OVER_1.5,2.65,79.81,0.33,1.115,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Leganes vs Albacete,OVER_1.5,2.99,69.69,0.33,1.0836,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Victoria NPL,Bentleigh Greens vs Dandenong City,OVER_1.5,2.65,77.99,0.31,1.0666,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Super League,Navbahor vs Olmaliq,OVER_1.5,3.2,63.98,0.29,1.0474,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Lincoln vs Leyton Orient,OVER_1.5,2.57,79.32,0.3,1.0385,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,WK-League,Suwon FMC W vs Hwacheon KSPO W,OVER_1.5,2.6,77.82,0.28,1.0234,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,League One,Suzhou Dongwu vs Shenzhen Juniors,OVER_1.5,2.65,75.85,0.29,1.0101,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Victoria NPL,Green Gully vs Dandenong Thunder,OVER_1.5,2.5,80.15,0.28,1.0037,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Super League,Pakhtakor vs Lokomotiv,OVER_1.5,2.63,73.88,0.21,0.9431,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,De Graafschap vs Telstar,OVER_1.5,2.27,84.28,0.21,0.9131,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Aalborg vs Silkeborg,OVER_1.5,2.14,89.0,0.18,0.9045,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,SKN ST. Polten vs Slovan Liberec,OVER_1.5,2.25,82.29,0.19,0.8515,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Vejle vs HB Koge,OVER_1.5,2.21,82.59,0.11,0.8253,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,New South Wales NPL,Sydney FC U23 vs Manly United,OVER_1.5,2.63,68.69,0.14,0.8066,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Korona Kielce vs Nieciecza,OVER_1.5,2.27,79.32,0.12,0.8006,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,New South Wales NPL 2,Hurstville FC vs Dulwich Hill,OVER_1.5,2.25,79.85,0.17,0.7966,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,FC Nordsjaelland vs Jagiellonia,OVER_1.5,2.36,75.83,0.1,0.7897,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Sonderjyske vs Kolding IF,OVER_1.5,2.1,84.77,0.1,0.7801,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Feyenoord vs Charleroi,OVER_1.5,2.05,86.75,0.1,0.7784,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Montpellier vs Le Puy Foot,OVER_1.5,2.59,67.98,0.12,0.7606,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Prostějov vs Floridsdorfer AC,OVER_1.5,2.26,77.77,0.12,0.7576,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Western Australia NPL,Perth vs Western Knights,OVER_1.5,2.03,86.26,0.13,0.7512,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,South Australia NPL,Campbelltown City vs Adelaide Comets,OVER_1.5,2.22,78.23,0.11,0.7366,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,New South Wales NPL 2,Prospect United vs Macarthur Rams,OVER_1.5,2.5,68.8,0.13,0.7201,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Victoria Premier League 2,Eastern Lions vs Bayside Argonauts,OVER_1.5,2.15,77.66,0.1,0.6697,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Super League,Henan Jianye vs Qingdao Jonoon,BTTS_YES,1.91,63.1,0.25,0.2053,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Liga Pro,Orense SC vs Emelec,DOUBLE_X2,1.7,70.16,0.19,0.1927,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Bayreuth vs FC Carl Zeiss Jena,DOUBLE_1X,1.57,74.91,0.18,0.1761,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Super League,Beijing Guoan vs Shenyang Urban,BTTS_YES,1.62,68.3,0.14,0.1064,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,League One,Changchun Yatai vs Wuxi Wugou,BTTS_YES,1.73,63.43,0.14,0.0973,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,League One,Dongguan United vs Nantong Zhiyun,UNDER_4.5,2.18,87.13,0.08,0.8994,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,South Australia NPL,West Torrens Birkalla vs Para Hills Knights,OVER_2.5,2.5,75.51,0.07,0.8878,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,FC Nordsjaelland vs Sparta Praha,OVER_1.5,2.18,80.47,0.07,0.7543,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Major League Soccer,St. Louis City vs Sporting Kansas City,OVER_1.5,2.07,82.16,0.06,0.7007,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Victoria NPL 2,Melbourne Knights vs Brunswick City,OVER_1.5,2.04,79.94,0.09,0.6309,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Liga Pro Serie B,Santo Domingo vs Deportivo Cuenca Juniors,OVER_0.5,1.66,81.73,0.09,0.3568,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Liga MX,Club Tijuana vs Tigres UANL,DOUBLE_1X,1.82,58.88,0.07,0.0717,,,,HIGH,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Kolos Kovalivka vs Kudrivka,OVER_1.5,2.25,74.15,0.04,0.6683,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,League One,Hebei Kungfu vs Yanbian Longding,UNDER_4.5,1.65,89.89,0.05,0.4832,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Stockport County vs Bristol City,DOUBLE_X2,1.23,85.21,0.05,0.0481,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:54:27.646543+00:00,Friendlies Clubs,Pogoń Grod. Mazowiecki vs Wigry Suwałki,OVER_0.5,1.12,91.28,0.04,0.0224,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Liga MX,Necaxa vs Atlante FC,UNDER_3.5,3.2,93.86,0.12,2.0034,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Copa Argentina,Sarmiento Junin vs Boca Juniors,OVER_0.5,3.35,86.62,0.17,1.9018,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Jong AZ vs Jong Ajax,OVER_2.5,3.3,71.76,0.35,1.368,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Zbrojovka Brno vs Podbrezová,OVER_1.5,2.65,79.81,0.33,1.115,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Leganes vs Albacete,OVER_1.5,2.99,69.69,0.33,1.0836,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Victoria NPL,Bentleigh Greens vs Dandenong City,OVER_1.5,2.65,77.99,0.31,1.0666,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,WK-League,Suwon FMC W vs Hwacheon KSPO W,OVER_1.5,2.6,77.82,0.28,1.0234,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Victoria NPL,Green Gully vs Dandenong Thunder,OVER_1.5,2.5,80.15,0.28,1.0037,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Rennes vs Guingamp,OVER_1.5,2.45,79.17,0.22,0.9397,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,New South Wales NPL,Sydney FC U23 vs Manly United,OVER_1.5,2.63,68.69,0.14,0.8066,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,New South Wales NPL 2,Hurstville FC vs Dulwich Hill,OVER_1.5,2.25,79.85,0.17,0.7966,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,FC Nordsjaelland vs Jagiellonia,OVER_1.5,2.36,75.83,0.1,0.7897,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Sonderjyske vs Kolding IF,OVER_1.5,2.1,84.77,0.1,0.7801,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Feyenoord vs Charleroi,OVER_1.5,2.05,86.75,0.1,0.7784,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Montpellier vs Le Puy Foot,OVER_1.5,2.59,67.98,0.12,0.7606,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Prostějov vs Floridsdorfer AC,OVER_1.5,2.26,77.77,0.12,0.7576,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Western Australia NPL,Perth vs Western Knights,OVER_1.5,2.03,86.26,0.13,0.7512,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,South Australia NPL,Campbelltown City vs Adelaide Comets,OVER_1.5,2.22,78.23,0.11,0.7366,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,New South Wales NPL 2,Prospect United vs Macarthur Rams,OVER_1.5,2.5,68.8,0.13,0.7201,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Victoria Premier League 2,Eastern Lions vs Bayside Argonauts,OVER_1.5,2.15,77.66,0.1,0.6697,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,League One,Changchun Yatai vs Wuxi Wugou,BTTS_YES,1.73,63.43,0.14,0.0973,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,League One,Dongguan United vs Nantong Zhiyun,UNDER_4.5,2.18,86.94,0.09,0.8954,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,South Australia NPL,West Torrens Birkalla vs Para Hills Knights,OVER_2.5,2.5,75.51,0.07,0.8878,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,FC Nordsjaelland vs Sparta Praha,OVER_1.5,2.18,80.47,0.07,0.7543,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Major League Soccer,St. Louis City vs Sporting Kansas City,OVER_1.5,2.07,82.16,0.06,0.7007,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Victoria NPL 2,Melbourne Knights vs Brunswick City,OVER_1.5,2.04,79.94,0.09,0.6309,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Liga Pro Serie B,Santo Domingo vs Deportivo Cuenca Juniors,OVER_0.5,1.66,81.73,0.09,0.3568,,,,LOW,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Liga MX,Club Tijuana vs Tigres UANL,DOUBLE_1X,1.82,58.88,0.07,0.0717,,,,HIGH,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
2026-07-17T01:38:53.470445+00:00,Friendlies Clubs,Stockport County vs Bristol City,DOUBLE_X2,1.23,85.21,0.05,0.0481,,,,MEDIUM,AI LOW_FIXTURE_UNIVERSE,PENDING,0.0,0.0
