ai_id,pick_id,fixture_id,created_at,source,ai_mode,ai_label,league,match,market,odds,confidence,edge,ev,stake,ai_pick_score,risk,status,tempo,pressure,momentum,learning_adjustment,settled_samples,data_provenance,model_reason,ai_generated
AI-1008814,d5db4f07119fc2b13988641f,1550894,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Liga MX,Necaxa vs Atlante FC,UNDER_3.5,3.2,93.86,0.12,2.0034,20.0,93.86,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=93.9; mode=BOOTSTRAP; market=UNDER_3.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-4989514,a7e5af3649dec6d55a326725,1567641,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Pogoń Grod. Mazowiecki vs Wigry Suwałki,OVER_0.5,1.12,91.28,0.04,0.0224,20.0,91.28,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=91.3; mode=BOOTSTRAP; market=OVER_0.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-0213341,7a8d2cbaf4cf12c6e4bd2c38,1528654,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,League One,Hebei Kungfu vs Yanbian Longding,UNDER_4.5,1.65,89.89,0.05,0.4832,20.0,89.89,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=89.9; mode=BOOTSTRAP; market=UNDER_4.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-6386269,7431b9a88be25d386085c88b,1550571,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Aalborg vs Silkeborg,OVER_1.5,2.14,89.0,0.18,0.9045,20.0,89.0,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=89.0; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-4976463,6d3a3337552df2281dd0023b,1528653,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,League One,Dongguan United vs Nantong Zhiyun,UNDER_4.5,2.18,87.13,0.08,0.8994,20.0,87.13,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=87.1; mode=BOOTSTRAP; market=UNDER_4.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-3658836,41d68e9e115e413975f7a978,1547975,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Feyenoord vs Charleroi,OVER_1.5,2.05,86.75,0.1,0.7784,20.0,86.75,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=86.8; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-5699737,f6e6fa7322745c9c35500e37,1540103,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Copa Argentina,Sarmiento Junin vs Boca Juniors,OVER_0.5,3.35,86.62,0.17,1.9018,20.0,86.62,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=86.6; mode=BOOTSTRAP; market=OVER_0.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-6341836,5b89c05db7bfe844d40c3517,1527235,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Western Australia NPL,Perth vs Western Knights,OVER_1.5,2.03,86.26,0.13,0.7512,20.0,86.26,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=86.3; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-5661711,d31a223cbe989fc8880e5ddc,1562927,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Stockport County vs Bristol City,DOUBLE_X2,1.23,85.21,0.05,0.0481,20.0,85.21,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=85.2; mode=BOOTSTRAP; market=DOUBLE_X2; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-6440929,4f5ec79314b1f60d3fbf4b1e,1554981,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Sonderjyske vs Kolding IF,OVER_1.5,2.1,84.77,0.1,0.7801,20.0,84.77,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=84.8; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-9762121,256c1b87e29c009a929bc2c0,1554977,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,De Graafschap vs Telstar,OVER_1.5,2.27,84.28,0.21,0.9131,20.0,84.28,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=84.3; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-5231111,8533e86f6312ec4fd9a402ed,1547974,2026-07-17T01:54:27.646543+00:00,AI LOW_FIXTURE_UNIVERSE,low,AI LOW,Friendlies Clubs,Vejle vs HB Koge,OVER_1.5,2.21,82.59,0.11,0.8253,20.0,82.59,LOW,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=82.6; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
